fetched_at_utc,input_lat,input_lon,input_station_name,aqi,station_id,station_name,dominant_pollutant,pm25,pm10,o3,no2,so2,co,t,h,w,time_station,error
2026-03-19 02:00:00,15.33663,75.125215,,69,12810,"Vidayagiri, Bagalkot, India",pm25,68.9,33.6,3.8,3.6,2.3,1.6,30.0,97.7,0.75,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.893438,76.608948,,106,12447,"Arya Nagar, Bahadurgarh, India",pm25,105.5,,7.3,3.9,2.4,8.0,-0.4,,2.23,2026-03-19 07:30:00,
2026-03-19 02:00:00,27.439746,75.695806,,128,11304,"Shastri Nagar, Jaipur, India",pm25,127.7,46.1,7.9,10.5,7.2,3.1,16.5,98.6,1.02,2026-03-19 07:30:00,
2026-03-19 02:00:00,25.46445,80.34791,,92,13727,"FTI Kidwai Nagar, Kanpur, India",pm25,91.9,46.9,3.9,8.5,8.8,5.1,22.6,78.2,0.75,2026-03-19 07:30:00,
2026-03-19 02:00:00,12.9151772,77.6102821,,89,11293,"Silk Board, Bengaluru, India",pm25,88.6,63.2,5.7,7.7,0.9,2.7,27.4,54.8,0.49,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.0330515,77.5332233,,45,8687,"SaneguravaHalli, Bangalore, India",pm10,,45.2,,1.7,1.9,2.9,19.5,59.0,0.22,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.9695395,79.3797979,,41,14132,"Rajendra Nagar, Bareilly, India",pm25,40.8,21.3,4.2,3.0,17.6,4.1,18.7,83.4,0.82,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.838964,75.246586,,48,9146,"More Chowk, Waluj, Aurangabad, India",pm25,47.6,21.3,3.5,7.0,4.1,3.5,16.9,100.0,0.53,2026-03-19 07:30:00,
2026-03-19 02:00:00,30.85077,75.706631,,64,11272,"Punjab Agricultural University, Ludhiana, India",pm25,64.3,43.8,10.6,10.3,7.4,10.2,20.9,99.8,0.34,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.806013,86.193541,,114,11271,"Asansol Court Area, Asansol, India",pm25,114.5,56.0,5.7,6.9,12.2,7.9,23.4,66.0,0.91,2026-03-19 07:30:00,
2026-03-19 02:00:00,31.622369,74.87966,,60,11321,"Golden Temple, Amritsar, India",pm25,60.3,35.0,14.8,43.3,7.1,5.5,23.0,68.0,0.69,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.7908341,80.8701804,,159,8188,"Talkatora, Lucknow, India",pm25,159.2,48.3,5.7,11.8,1.8,3.6,21.4,53.6,0.7,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.013582,80.22441,,118,11279,"Velachery Res. Area, Chennai, Chennai, India",pm25,118.3,31.7,2.1,4.8,2.0,,26.1,80.5,0.27,2026-03-19 07:30:00,
2026-03-19 02:00:00,18.483194,73.809359,,78,11898,"Nerul, Navi Mumbai, India",pm25,77.6,40.8,7.3,14.6,6.1,7.6,25.3,69.8,0.68,2026-03-19 07:30:00,
2026-03-19 02:00:00,10.524873,76.189119,,67,13693,"Corporation Ground, Thrissur, India",pm25,67.1,49.8,12.3,2.4,0.1,1.6,25.6,100.0,0.85,2026-03-19 07:30:00,
2026-03-19 02:00:00,21.154924,79.078932,,74,12444,"Opp GPO Civil Lines, Nagpur, India",pm25,73.5,53.0,6.2,2.2,0.5,0.2,21.3,71.7,1.03,2026-03-19 07:30:00,
2026-03-19 02:00:00,20.00601,73.781441,,60,11283,"Gangapur Road, Nashik, India",pm10,63.3,60.5,11.7,1.3,1.4,4.1,18.4,70.1,1.47,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.127883,80.2698783,,70,13739,"Kodungaiyur, Chennai, Chennai, India",pm25,69.8,41.6,10.4,4.1,2.0,5.1,28.8,69.1,0.35,2026-03-19 07:30:00,
2026-03-19 02:00:00,10.825638,78.686358,,103,13698,"Jawahar Nagar, Puducherry, India",pm25,103.4,41.7,1.5,7.6,2.4,4.6,26.1,86.6,0.51,2026-03-19 07:30:00,
2026-03-19 02:00:00,21.613904,73.047958,,125,12823,"GIDC, Nandesari, India",pm25,124.9,64.0,,88.0,1.2,,19.3,88.9,1.22,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.975292,72.643021,,140,12451,"Phase-4 GIDC, Vatva, India",pm25,140.3,112.9,9.7,28.6,13.2,30.6,19.0,85.8,1.55,2026-03-19 07:30:00,
2026-03-19 02:00:00,24.245881,80.727373,,13,11864,"Sahilara, Maihar, India",pm10,21.1,13.2,,2.1,3.1,5.8,24.2,46.9,0.57,2026-03-19 07:30:00,
2026-03-19 02:00:00,23.864212,78.747389,,44,12821,"Deen Dayal Nagar, Sagar, India",pm25,44.3,44.2,,0.9,0.9,4.5,20.6,72.7,1.46,2026-03-19 07:30:00,
2026-03-19 02:00:00,25.353019,78.63686,,84,13877,"Shivaji Nagar, Jhansi, India",pm25,84.3,33.5,0.8,2.1,3.6,1.7,20.2,83.8,0.55,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.07,80.212517,,63,13740,"Arumbakkam, Chennai, Chennai, India",pm10,65.0,62.8,,5.1,0.8,,25.9,90.1,0.44,2026-03-19 07:30:00,
2026-03-19 02:00:00,12.952886,80.216424,,65,13738,"Perungudi, Chennai, Chennai, India",pm25,64.9,44.4,1.0,2.4,1.5,5.2,28.9,93.6,0.25,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.093387,80.287647,,90,13737,"Royapuram, Chennai, Chennai, India",pm25,90.5,53.7,6.2,4.9,2.5,5.0,25.8,84.1,0.72,2026-03-19 07:30:00,
2026-03-19 02:00:00,12.9579101,79.1448999,,29,9069,"Tirumala-APPCB, Tirupati, India",o3,44.0,27.7,28.8,25.9,1.6,2.4,29.4,85.4,0.28,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.5894262,77.2128306,,134,10122,"Lodhi Road, Delhi, Delhi, India",pm25,134.1,82.5,9.8,5.1,,0.1,17.1,94.5,4.15,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.2267228,72.8619328,,58,13714,"Borivali East MPCB, Mumbai, India",pm25,57.8,41.4,3.5,1.0,7.0,2.5,24.7,100.0,21.72,2026-03-19 07:30:00,
2026-03-19 02:00:00,18.762433,73.815469,,107,12462,"Khadakpada, Kalyan, India",pm25,106.7,52.7,2.8,11.7,0.1,,25.3,70.4,0.66,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.858816,89.38094,,55,14697,"Zero Point GICI, Gangtok, India",pm25,54.8,12.5,6.5,2.1,0.2,0.9,8.4,,,2026-03-19 07:30:00,
2026-03-19 02:00:00,17.929851,77.481988,,70,14126,"IITH Kandi, Hyderabad, India",pm25,69.9,58.4,9.4,4.8,3.7,4.4,26.9,95.8,0.14,2026-03-19 07:30:00,
2026-03-19 02:00:00,34.06944,74.825,,29,13694,"Rajbagh, Srinagar, India",pm25,28.6,17.1,0.3,,1.3,1.9,6.7,100.0,0.15,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.98452765,72.52806303,,43,13749,"Gyaspur, Ahmedabad, India",pm25,43.2,44.6,0.1,25.0,12.6,0.8,17.4,98.9,0.08,2026-03-19 07:30:00,
2026-03-19 02:00:00,21.200086,81.353446,,23,13875,"Civic Center, Bhilai, India",pm25,23.2,14.7,3.1,3.5,2.9,4.5,21.2,66.7,0.99,2026-03-19 07:30:00,
2026-03-19 02:00:00,23.8148452,91.2680827,,143,14139,"Bardowali, Agartala, India",pm25,142.9,67.6,1.1,7.2,0.4,2.1,21.8,94.7,0.23,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.174722,91.774975,,59,11844,"Railway Colony, Guwahati, India",pm25,58.9,27.1,,0.9,1.5,2.8,19.7,48.2,0.54,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.043878,72.893456,,71,12464,"Sion, Mumbai, India",pm25,71.0,52.1,5.8,9.6,0.2,2.5,25.0,85.6,0.92,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.488447,77.091247,,68,10126,"Aya Nagar, Delhi, Delhi, India",pm10,23.8,67.5,4.8,6.2,,0.1,17.0,92.8,4.13,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.975926,79.236644,,48,9147,"MIDC Khutala, Chandrapur, India",pm10,50.5,47.7,9.3,3.1,0.4,5.5,35.2,84.5,1.12,2026-03-19 07:30:00,
2026-03-19 02:00:00,14.466562,75.919734,,45,13695,"Vinoba Nagara, Shivamogga, India",pm25,45.3,24.2,12.8,6.9,1.7,2.2,19.9,99.4,0.78,2026-03-19 07:30:00,
2026-03-19 02:00:00,25.03967,86.90247,,73,13815,"DM Office_Kachari Chowk, Bhagalpur, India",pm25,73.1,41.7,5.2,3.5,13.5,1.9,34.2,89.7,2.12,2026-03-19 07:30:00,
2026-03-19 02:00:00,29.03976,77.09024,,170,11861,"Murthal, Sonipat, India",pm25,169.7,122.0,8.0,3.8,2.2,4.5,15.9,100.0,0.02,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.106396,77.370496,,100,12449,"Shyam Nagar, Palwal, India",pm25,100.4,51.5,2.7,7.0,3.3,13.4,16.7,99.4,1.65,2026-03-19 07:30:00,
2026-03-19 02:00:00,31.109083,77.16379,,79,14131,"HIMUDA Complex Phase-1, Baddi, India",pm25,79.2,49.0,3.6,7.0,11.1,7.4,32.4,95.8,0.28,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.659917,87.737287,,46,11320,"Padmapukur, Howrah, India",pm10,48.8,45.7,3.9,6.1,3.7,10.9,25.0,96.5,0.36,2026-03-19 07:30:00,
2026-03-19 02:00:00,27.4894645,94.5425052,,52,14696,"Girls College, Sivasagar, India",pm25,51.8,13.8,8.8,7.1,2.9,3.6,17.7,98.4,1.08,2026-03-19 07:30:00,
2026-03-19 02:00:00,9.9651009,76.31873137,,52,11919,"Udyogamandal, Eloor, India",pm10,45.4,51.8,4.4,2.1,0.3,1.5,24.8,100.0,0.34,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.4609135,80.3217588,,94,8187,"Nehru Nagar, Kanpur, India",pm25,94.5,42.6,2.1,16.0,5.5,9.8,33.0,66.6,2.48,2026-03-19 07:30:00,
2026-03-19 02:00:00,11.248138,75.7846487,,119,12819,"Thavakkara, Kannur, India",pm25,119.0,57.4,9.0,5.2,1.2,3.4,25.5,53.4,2.74,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.054979,72.84022,,57,13715,"Bandra Kurla Complex, Mumbai, India",pm25,56.9,58.3,0.3,8.6,0.8,3.4,25.1,70.8,0.74,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.154192,72.926899,,111,13710,"Khindipada-Bhandup West, Mumbai, India",pm25,111.2,50.0,0.5,4.9,2.3,2.6,24.9,37.6,0.81,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.480808,77.304862,,142,10110,"Dr. Karni Singh Shooting Range, Delhi, Delhi, India",pm25,142.3,78.5,5.4,6.8,4.5,0.1,19.8,90.5,2.07,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.728594,77.199325,,131,10125,"Burari Crossing, Delhi, Delhi, India",pm25,130.9,72.2,403.3,6.9,,0.1,16.9,93.4,4.14,2026-03-19 07:30:00,
2026-03-19 02:00:00,8.552819,76.939413,,43,9585,"Plammoodu, Thiruvananthapuram, India",pm25,43.3,29.5,7.8,0.1,6.5,2.0,26.8,89.2,0.37,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6515829,77.1582587,,103,8179,"Shadipur, Delhi, Delhi, India",pm25,102.9,43.2,2.9,16.2,7.7,0.1,16.1,79.3,0.65,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.675872,77.321312,,145,10118,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",pm25,145.4,70.4,2.4,11.1,3.3,10.8,20.4,84.7,2.39,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6517178,77.2219388,,157,2554,"Mandir Marg, Delhi, Delhi, India",pm25,157.1,92.4,2.8,13.4,7.4,4.4,17.1,93.4,0.49,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.0005575,77.67544843,,92,12441,"BWSSB Kadabesanahalli, Bengaluru, India",pm25,91.5,70.6,4.6,4.4,1.9,5.4,19.0,85.5,1.46,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6713863,77.1407175,,121,2555,"Punjabi Bagh, Delhi, Delhi, India",pm25,121.3,81.3,4.3,8.2,21.0,3.8,22.2,87.0,0.73,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.835925,78.776012,,56,13805,"Jigar Colony, Moradabad, India",pm25,55.5,31.5,5.9,7.9,8.9,5.8,24.8,97.7,0.46,2026-03-19 07:30:00,
2026-03-19 02:00:00,23.183491,75.767473,,63,11313,"Bhopal Chauraha, Dewas, India",pm25,63.3,61.6,8.8,30.7,11.4,5.1,25.2,73.9,0.88,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.874399,81.080741,,96,12468,"Gomti Nagar, Lucknow, India",pm25,95.7,36.6,10.7,2.2,4.5,5.8,27.0,60.7,0.14,2026-03-19 07:30:00,
2026-03-19 02:00:00,16.514,80.516,,46,11280,"Secretariat, Amaravati, India",pm10,34.2,45.5,13.8,2.9,3.0,1.6,32.4,67.9,2.03,2026-03-19 07:30:00,
2026-03-19 02:00:00,20.94927,85.23354,,117,11288,"Talcher Coalfields, Talcher, India",pm25,117.0,62.8,17.7,20.3,11.6,3.6,20.8,57.7,3.24,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.839797,80.940076,,133,8673,"Lalbagh, West Lucknow, Lucknow, India",pm25,132.8,75.9,3.4,9.4,1.4,7.1,21.6,61.2,0.56,2026-03-19 07:30:00,
2026-03-19 02:00:00,23.105366,77.196715,,64,12429,"T T Nagar, Bhopal, India",pm25,63.7,28.4,17.9,3.9,5.3,5.4,23.0,79.1,0.31,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.71821,75.89183,,128,11306,"Sector-2 Industrial Area, Pithampur, India",pm25,127.9,97.4,10.2,12.8,1.7,3.7,29.4,67.8,0.9,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.281286,73.014644,,57,12433,"Collectorate, Jodhpur, India",pm25,56.8,31.3,4.2,6.3,0.5,6.6,16.6,86.6,1.0,2026-03-19 07:30:00,
2026-03-19 02:00:00,25.908268,86.72532,,86,13801,"Police Line, Saharsa, India",pm25,85.9,63.0,3.8,2.4,5.3,6.0,28.2,83.5,0.45,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.955223,77.735563,,94,11963,"Jai Bhim Nagar, Meerut, India",pm25,93.7,50.7,3.3,9.0,2.0,5.2,26.1,83.0,1.15,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.633667,77.369259,,126,11865,"Sector - 62, Noida, India",pm25,126.5,84.6,5.6,2.8,,2.5,17.2,92.4,3.61,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.75153,77.288,,185,12452,"Loni, Ghaziabad, India",pm25,185.4,83.7,1.6,7.5,4.6,8.7,31.5,81.6,3.16,2026-03-19 07:30:00,
2026-03-19 02:00:00,10.966116,76.96363,,65,11847,"SIDCO Kurichi, Coimbatore, India",pm25,64.9,30.9,7.5,0.8,6.8,4.2,23.4,52.2,0.23,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.631302,88.350583,,72,12450,"Belur Math, Howrah, India",pm25,71.6,32.8,3.3,23.6,4.8,4.0,25.3,92.2,0.65,2026-03-19 07:30:00,
2026-03-19 02:00:00,18.95389,72.839337,,41,13709,"Mazgaon, Mumbai, India",pm25,41.3,27.9,5.5,27.2,3.3,2.4,25.3,66.4,0.13,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.103355,72.838922,,17,12455,"Vile Parle West, Mumbai, India",so2,449.8,850.7,,3.7,16.8,4.0,24.9,70.6,0.68,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.099516,72.876032,,66,12454,"Kurla, Mumbai, India",pm25,65.7,45.4,11.1,1.5,9.9,1.6,25.4,100.0,44.42,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.496269,88.367531,,49,12458,"Jadavpur, Kolkata, India",pm25,49.4,22.5,3.4,5.1,1.9,4.2,25.4,92.7,0.22,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.116218,72.91117,,57,12459,"Powai, Mumbai, India",pm25,56.6,30.5,3.5,2.2,3.3,,24.9,67.6,1.11,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.112675,73.009176,,66,12461,"Mahape, Navi Mumbai, India",pm25,65.7,50.3,4.2,27.2,8.2,,24.7,72.0,0.69,2026-03-19 07:30:00,
2026-03-19 02:00:00,18.913541,72.816588,,59,11962,"Colaba, Mumbai, India",pm25,59.3,34.5,,7.6,7.5,10.2,25.1,71.3,0.82,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.456924,77.500183,,73,11278,"Knowledge Park - III, Greater Noida, India",pm25,73.4,44.4,0.7,30.8,1.0,8.6,42.3,81.4,0.76,2026-03-19 07:30:00,
2026-03-19 02:00:00,27.229468,77.495924,,55,13689,"Omex Eternity, Vrindavan, India",pm25,54.7,29.6,5.6,8.6,5.2,3.3,30.3,94.4,1.61,2026-03-19 07:30:00,
2026-03-19 02:00:00,12.957915,77.543254,,56,11312,"Bapuji Nagar, Bengaluru, India",pm25,55.6,46.8,8.9,5.4,7.9,4.0,20.9,60.3,0.3,2026-03-19 07:30:00,
2026-03-19 02:00:00,12.971187,77.604675,,105,11270,"Hombegowda Nagar, Bengaluru, India",pm25,105.0,42.0,14.3,7.6,2.7,2.8,28.9,66.5,0.25,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.352219,77.72517,,93,11316,"Chikkaballapur Rural, Chikkaballapur, India",pm25,93.2,33.0,6.6,6.2,3.5,3.5,23.5,87.5,0.35,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.79966,77.0328847,,146,11267,"Pooth Khurd, Bawana, Delhi, Delhi, India",pm25,145.9,99.4,1.9,1.8,1.0,6.2,20.6,91.3,0.58,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6819261,77.0308105,,140,10708,"Mundka, Delhi, Delhi, India",pm25,139.7,77.8,2.0,25.5,8.2,3.8,20.8,92.3,1.65,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.5396291,77.2000301,,154,10707,"Sri Auribindo Marg, Delhi, Delhi, India",pm25,154.0,97.5,3.7,9.2,3.2,4.9,19.1,92.1,2.11,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.63629965,77.15764441,,112,10124,"Pusa, Delhi, Delhi, India",pm25,111.7,59.8,7.1,19.1,5.6,0.1,21.2,71.5,2.68,2026-03-19 07:30:00,
2026-03-19 02:00:00,18.2720529,83.9056074,,109,12443,"GVM Corporation, Visakhapatnam, India",pm10,98.9,109.3,2.1,28.9,8.2,3.6,29.2,65.0,1.44,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.122593,85.390553,,136,13704,"Buddha Colony, Muzaffarpur, India",pm25,136.1,51.7,5.3,7.9,3.0,4.6,23.6,93.7,0.84,2026-03-19 07:30:00,
2026-03-19 02:00:00,13.012008,77.655502,,79,11428,"Hebbal, Bengaluru, India",pm25,78.7,44.1,3.3,17.0,4.6,4.0,27.5,98.9,0.26,2026-03-19 07:30:00,
2026-03-19 02:00:00,17.514887,78.506812,,73,14149,"Kompally Municipal Office, Hyderabad, India",pm25,73.4,54.1,10.2,5.1,2.2,5.7,21.1,86.8,0.84,2026-03-19 07:30:00,
2026-03-19 02:00:00,17.534818,78.264553,,60,11305,"ICRISAT Patancheru, Hyderabad, India",pm25,59.7,28.5,8.2,1.5,3.6,6.7,30.4,76.8,0.17,2026-03-19 07:30:00,
2026-03-19 02:00:00,30.716806,76.835332,,4,8680,"Sector 6 Panchkula, Panchkula, India",so2,818.8,,0.6,7.3,3.7,1.7,16.7,88.8,0.34,2026-03-19 07:30:00,
2026-03-19 02:00:00,17.351921,78.401592,,35,8677,"Zoo Park, Bahadurpura West, Hyderabad, India",pm25,35.3,20.3,8.2,2.0,0.8,2.3,31.3,80.0,0.41,2026-03-19 07:30:00,
2026-03-19 02:00:00,25.075788,80.90176,,64,11287,"Bandhavgar Colony, Satna, India",pm25,64.0,48.6,,3.6,6.3,2.4,24.5,46.7,0.47,2026-03-19 07:30:00,
2026-03-19 02:00:00,25.32773,82.995959,,59,13690,"Maldahiya, Varanasi, India",pm25,58.7,37.8,1.8,0.9,9.8,4.5,25.5,55.8,0.55,2026-03-19 07:30:00,
2026-03-19 02:00:00,21.755257,86.775116,,59,8683,"Haldia, Haldia, India",pm25,59.0,42.0,9.3,11.8,6.2,7.3,25.5,84.4,0.13,2026-03-19 07:30:00,
2026-03-19 02:00:00,17.377136,78.498031,,57,14135,"New Malakpet, Hyderabad, India",pm25,57.2,51.7,4.0,4.5,5.0,4.1,23.5,82.3,0.08,2026-03-19 07:30:00,
2026-03-19 02:00:00,17.456811,78.441839,,61,8182,"Sanathnagar, Hyderabad, India",pm25,61.4,,5.6,6.0,3.0,6.7,21.1,60.4,0.73,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6466157,77.3155317,,127,2553,"Anand Vihar, Delhi, Delhi, India",pm25,126.7,70.7,5.7,9.6,3.0,0.1,23.9,89.0,0.6,2026-03-19 07:30:00,
2026-03-19 02:00:00,19.311501,72.858885,,80,12460,"Borivali East, Mumbai, India",pm25,80.5,52.2,3.2,9.8,,11.0,25.4,72.4,0.67,2026-03-19 07:30:00,
2026-03-19 02:00:00,23.012369,72.561743,,174,8192,"Maninagar, Ahmedabad, India",pm25,173.6,111.1,15.5,25.1,23.8,5.4,19.9,79.1,0.15,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.544815,88.342764,,60,9068,"Victoria, Kolkata, India",pm25,60.5,35.2,6.8,8.2,5.0,3.7,24.6,98.3,2.17,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.7973118,77.138667,,133,11266,"Alipur, Delhi, Delhi, India",pm25,132.8,73.7,3.1,5.2,2.5,2.9,19.7,84.4,1.88,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.8464766,77.0856631,,150,10706,"Narela, Delhi, Delhi, India",pm25,150.4,75.0,3.1,2.7,2.6,5.0,21.5,92.2,0.98,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.5273409,77.2794327,,136,10116,"DITE Okhla, Delhi, Delhi, India",pm25,136.0,65.3,3.4,17.0,5.8,17.3,19.0,92.3,0.5,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.5685108,77.2513847,,132,10112,"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",pm25,131.7,53.9,4.7,9.2,5.2,12.5,14.7,81.3,0.66,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.7162092,77.1170743,,144,10117,"Shaheed Sukhdev College of Business Studies, Rohini, Delhi, Delhi, India",pm25,144.2,95.2,2.7,4.5,3.4,4.6,20.7,90.7,0.52,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6115923,77.2905644,,111,10704,"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",pm25,111.0,64.3,1.3,13.2,5.1,13.0,20.3,92.5,2.63,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.7199257,77.2481823,,126,10121,"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",pm25,125.9,84.0,2.0,7.0,2.8,6.2,19.2,95.7,1.22,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.686014,77.432251,,695,11899,"Sanjay Nagar, Ghaziabad, India",pm25,694.8,70.7,1.8,18.0,6.8,3.4,28.7,74.7,1.29,2026-03-19 07:30:00,
2026-03-19 02:00:00,30.742172,76.202811,,59,11309,"Kalal Majra, Khanna, India",pm25,59.4,26.1,6.8,8.1,2.3,7.1,24.0,97.1,0.69,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.395105,77.065276,,136,12816,"Sector-51, Gurugram, India",pm25,136.2,70.3,4.3,2.8,2.9,3.0,16.8,100.0,0.81,2026-03-19 07:30:00,
2026-03-19 02:00:00,30.203453,74.947624,,10,11269,"Hardev Nagar, Bathinda, India",co,10.8,1.4,,16.6,2.3,10.3,32.8,72.5,1.9,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.377372,77.309472,,151,12813,"Sector 11, Faridabad, India",pm25,151.0,108.3,5.5,10.4,1.1,6.8,17.0,99.4,0.39,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.542916,77.310111,,117,11863,"Sector - 125, Noida, India",pm25,116.8,71.8,4.1,8.0,4.8,10.0,28.5,94.4,1.55,2026-03-19 07:30:00,
